color,a0,a1,a2,a3,a4,a5,ac1,min_value,max_value,min_feh,max_feh,err_clbr
bv,0.541,0.533,0.007,-0.019,-0.047,-0.011,,0.2,1.5,-3.5,0.5,130
by_,0.537,0.854,0.196,-0.026,-0.014,-0.009,-0.198,0.2,0.7,-3,0.5,110
